"Sample","Cluster"
"TCGA-C8-A8HQ-01A",5
"TCGA-OL-A5D8-01A",1
"TCGA-C8-A26X-01A",5
"TCGA-AC-A6IX-01A",3
"TCGA-GM-A2DM-01A",4
"TCGA-JL-A3YX-01A",3
"TCGA-BH-A1FM-01A",5
"TCGA-EW-A1P0-01A",1
"TCGA-E9-A1RG-01A",5
"TCGA-AC-A3YJ-01A",1
"TCGA-AC-A6NO-01A",3
"TCGA-C8-A8HP-01A",4
"TCGA-LL-A50Y-01A",1
"TCGA-S3-AA14-01A",3
"TCGA-LL-A6FQ-01A",1
"TCGA-D8-A73U-01A",4
"TCGA-BH-A0DV-01A",3
"TCGA-AC-A2FB-01A",4
"TCGA-E9-A1N3-01A",1
"TCGA-D8-A1JC-01A",5
"TCGA-E2-A572-01A",1
"TCGA-AO-A03U-01B",4
"TCGA-BH-A1EY-01A",5
"TCGA-BH-A0W4-01A",3
"TCGA-A2-A0T1-01A",4
"TCGA-BH-A204-01A",1
"TCGA-A2-A0T6-01A",3
"TCGA-AR-A24S-01A",5
"TCGA-AR-A5QN-01A",1
"TCGA-B6-A0RN-01A",3
"TCGA-EW-A1P3-01A",3
"TCGA-E2-A1IU-01A",3
"TCGA-D8-A1XL-01A",5
"TCGA-AR-A24Q-01A",2
"TCGA-S3-AA12-01A",1
"TCGA-BH-A42U-01A",4
"TCGA-AR-A24N-01A",3
"TCGA-A2-A0T5-01A",3
"TCGA-BH-A201-01A",3
"TCGA-AR-A24V-01A",5
"TCGA-LD-A74U-01A",3
"TCGA-E9-A1NE-01A",4
"TCGA-A1-A0SF-01A",3
"TCGA-D8-A1JD-01A",5
"TCGA-EW-A1PA-01A",5
"TCGA-E9-A248-01A",5
"TCGA-A2-A1FW-01A",1
"TCGA-BH-A8G0-01A",4
"TCGA-3C-AALI-01A",1
"TCGA-BH-A8FY-01A",1
"TCGA-AC-A62X-01A",2
"TCGA-E9-A1NG-01A",5
"TCGA-AR-A0TQ-01A",5
"TCGA-GM-A3XL-01A",2
"TCGA-A2-A0YM-01A",2
"TCGA-AR-A0TV-01A",1
"TCGA-E9-A1N4-01A",5
"TCGA-E9-A22E-01A",5
"TCGA-BH-A1F2-01A",5
"TCGA-D8-A1XA-01A",5
"TCGA-D8-A27G-01A",3
"TCGA-E2-A1B5-01A",4
"TCGA-D8-A1XR-01A",1
"TCGA-A8-A075-01A",5
"TCGA-BH-A0C0-01A",4
"TCGA-A2-A1FZ-01A",3
"TCGA-OL-A5RZ-01A",1
"TCGA-BH-A1EX-01A",5
"TCGA-BH-A0C3-01A",4
"TCGA-D8-A1JG-01B",5
"TCGA-A7-A13D-01A",2
"TCGA-EW-A1PB-01A",2
"TCGA-C8-A1HN-01A",5
"TCGA-C8-A26V-01A",5
"TCGA-PE-A5DE-01A",1
"TCGA-D8-A1JN-01A",1
"TCGA-A2-A1G6-01A",4
"TCGA-A2-A0YD-01A",3
"TCGA-BH-A28Q-01A",3
"TCGA-D8-A1XU-01A",5
"TCGA-E2-A1L6-01A",3
"TCGA-LL-A440-01A",4
"TCGA-BH-A0AU-01A",5
"TCGA-GI-A2C8-01A",3
"TCGA-AR-A1AU-01A",3
"TCGA-D8-A1XQ-01A",2
